Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-05-16 02-AM,BTCUSD,9405.44,9456.87,9379.59,9428.26,101.29,954596.29
2020-05-16 02-PM,BTCUSD,9457.24,9494.16,9393.2,9433.24,307.37,2897585.54
2020-05-16 03-AM,BTCUSD,9428.26,9451.08,9385.6,9410.78,94.47,889245.65
2020-05-16 03-PM,BTCUSD,9433.24,9435.09,9333.36,9373.96,437.03,4102688.52
2020-05-16 04-AM,BTCUSD,9410.78,9502.36,9400,9494.57,183.43,1735860.66
2020-05-16 04-PM,BTCUSD,9373.96,9406.83,9314,9380.83,226.03,2115038.5
2020-05-16 05-AM,BTCUSD,9494.57,9590,9439.99,9453.98,929.33,8830111.04
2020-05-16 05-PM,BTCUSD,9380.83,9400.32,9291,9311.6,228.03,2129198.25
2020-05-16 06-AM,BTCUSD,9453.98,9479.49,9406.59,9468,215.43,2035532.53
2020-05-16 06-PM,BTCUSD,9311.6,9343.48,9255.24,9277.37,291.68,2711892.45
2020-05-16 07-AM,BTCUSD,9468,9502.36,9372.16,9383.42,280.26,2646603.2
2020-05-16 07-PM,BTCUSD,9277.37,9350.51,9257.8,9330.14,134.04,1249510.92
2020-05-16 08-AM,BTCUSD,9383.42,9431.29,9344.71,9427.98,177.48,1667105.81
2020-05-16 08-PM,BTCUSD,9330.14,9395.08,9296,9384.68,148.28,1383810.67
2020-05-16 09-AM,BTCUSD,9427.98,9428.56,9329.13,9414.01,242.82,2279358.76
2020-05-16 09-PM,BTCUSD,9384.68,9421.32,9351.29,9377.21,98.44,923996.39
2020-05-16 10-AM,BTCUSD,9414.01,9457,9367.21,9448.53,117.92,1110296.78
2020-05-16 10-PM,BTCUSD,9377.21,9443.02,9360.94,9418.83,126.87,1194161.54
2020-05-16 11-AM,BTCUSD,9448.53,9454.42,9376.9,9414.99,135.74,1278142.38
2020-05-16 11-PM,BTCUSD,9418.83,9435.18,9368.24,9389.07,139.73,1313535.22
2020-05-16 12-AM,BTCUSD,9306.21,9400.47,9216.08,9394.68,475.64,4426710.38
2020-05-16 12-PM,BTCUSD,9414.99,9504.27,9401.89,9473.89,307.66,2914972.62
2020-05-17 01-AM,BTCUSD,9474.72,9522.8,9434.21,9479.15,203.7,1933593.2
2020-05-17 01-PM,BTCUSD,9769.91,9796.82,9695.75,9748.29,648.94,6319750.92
2020-05-17 02-AM,BTCUSD,9479.15,9555,9476.13,9508.33,171.31,1630101.12
2020-05-17 02-PM,BTCUSD,9748.29,9831,9724.56,9816.45,935.33,9145317.93
2020-05-17 03-AM,BTCUSD,9508.33,9574,9496.68,9536.42,112.02,1069225.58
2020-05-17 03-PM,BTCUSD,9816.45,9894.88,9766.11,9826.22,1463.38,14381224.77
2020-05-17 04-AM,BTCUSD,9536.42,9565.26,9502.48,9504.83,106.94,1019145.44
2020-05-17 04-PM,BTCUSD,9826.22,9849.97,9707,9747.25,550.76,5381445.87
2020-05-17 05-AM,BTCUSD,9504.83,9531.17,9469.28,9495.37,91.71,870855.45
2020-05-17 05-PM,BTCUSD,9747.25,9780.19,9715.22,9770.62,543.54,5301625.01
2020-05-17 06-AM,BTCUSD,9495.37,9553.8,9493.01,9545.51,100.44,957194.08
2020-05-17 06-PM,BTCUSD,9770.62,9770.62,9703.12,9750.61,280.87,2734244.83
2020-05-17 07-AM,BTCUSD,9545.51,9568.78,9504.98,9545,165.12,1573374.79
2020-05-17 07-PM,BTCUSD,9750.61,9794.95,9727.76,9766.75,337.01,3292568.46
2020-05-17 08-AM,BTCUSD,9545,9553.8,9475.79,9480.92,146.36,1391238.45
2020-05-17 08-PM,BTCUSD,9766.75,9767.28,9721.44,9737,194.02,1890100.82
2020-05-17 09-AM,BTCUSD,9480.92,9507.17,9450,9485.59,79.53,753647.64
2020-05-17 09-PM,BTCUSD,9737,9791.17,9733.1,9758.77,313.32,3060937.33
2020-05-17 10-AM,BTCUSD,9485.59,9537.03,9485.59,9528.56,51.19,487252.81
2020-05-17 10-PM,BTCUSD,9758.77,9767.61,9589.54,9684.98,575.94,5563566.5
2020-05-17 11-AM,BTCUSD,9528.56,9537.03,9490.77,9519.92,61.67,586699.36
2020-05-17 11-PM,BTCUSD,9684.98,9729.98,9652.03,9665.7,195.62,1894241.6
2020-05-17 12-AM,BTCUSD,9389.07,9521.66,9326.53,9474.72,442.54,4188202.35
2020-05-17 12-PM,BTCUSD,9519.92,9780,9519.92,9769.91,1744.53,16906556.5
2020-05-18 01-AM,BTCUSD,9772.61,9966.12,9758.75,9898.93,1969.61,19497122.73
2020-05-18 01-PM,BTCUSD,9659,9686.51,9629.14,9658.86,279.13,2694943.36
2020-05-18 02-AM,BTCUSD,9898.93,9933.18,9832.02,9869.31,941.94,9298401.5
2020-05-18 02-PM,BTCUSD,9658.86,9730.52,9624.83,9708.59,522.46,5066265.6
2020-05-18 03-AM,BTCUSD,9869.31,9891.74,9811.88,9860.32,559.08,5512744.85
2020-05-18 03-PM,BTCUSD,9708.59,9715.61,9634.36,9664.28,360.79,3489956.05
2020-05-18 04-AM,BTCUSD,9860.32,9909.83,9835,9863.23,395.87,3908074.53
2020-05-18 04-PM,BTCUSD,9664.28,9703.96,9593.9,9631.4,463.5,4465264.66
2020-05-18 05-AM,BTCUSD,9863.23,9902,9850.01,9854.8,337.61,3333934.16
2020-05-18 05-PM,BTCUSD,9631.4,9651.72,9541.32,9617.04,527.37,5057824.5
2020-05-18 06-AM,BTCUSD,9854.8,9886.09,9728.55,9783.5,659.01,6452118.3
2020-05-18 06-PM,BTCUSD,9617.04,9663.3,9602.15,9653.93,194.46,1873275.48
2020-05-18 07-AM,BTCUSD,9783.5,9810.8,9734.93,9779.92,368.48,3603686.76
2020-05-18 07-PM,BTCUSD,9653.93,9715.61,9649.13,9702.31,231.44,2243021.74
2020-05-18 08-AM,BTCUSD,9779.92,9797.53,9451.2,9582.19,1508.61,14491227.32
2020-05-18 08-PM,BTCUSD,9702.31,9715.61,9640.14,9674.9,182.58,1764828.22
2020-05-18 09-AM,BTCUSD,9582.19,9613.38,9531.5,9577.98,684.74,6555011.2
2020-05-18 09-PM,BTCUSD,9674.9,9724.92,9669,9681.11,125.88,1221150.75
2020-05-18 10-AM,BTCUSD,9577.98,9655.84,9559.37,9622.61,523.22,5031506.41
2020-05-18 10-PM,BTCUSD,9681.11,9744.76,9663.3,9711.15,239.74,2328568.11
2020-05-18 11-AM,BTCUSD,9622.61,9695.23,9621.83,9628.35,378.82,3658118.22
2020-05-18 11-PM,BTCUSD,9711.15,9750.63,9693.78,9721.91,218.49,2124614.7
2020-05-18 12-AM,BTCUSD,9665.7,9784.52,9665.7,9772.61,197.86,1928949.58
2020-05-18 12-PM,BTCUSD,9628.35,9670.45,9550.14,9659,491.63,4724699.51
2020-05-19 01-AM,BTCUSD,9634.36,9662.99,9619.98,9643.83,112.88,1088258.04
2020-05-19 01-PM,BTCUSD,9622.33,9689.84,9588.01,9661.97,553.2,5333728.78
2020-05-19 02-AM,BTCUSD,9643.83,9651.31,9464.14,9607.7,769.16,7355311.72
2020-05-19 02-PM,BTCUSD,9661.97,9730.96,9661.95,9693.66,371.63,3603445.31
2020-05-19 03-AM,BTCUSD,9607.7,9627.6,9476.34,9522.37,418.29,3991637.3
2020-05-19 03-PM,BTCUSD,9693.66,9737.69,9635.22,9688.24,354.07,3429927.51
2020-05-19 04-AM,BTCUSD,9522.37,9562.52,9455.05,9519.36,762.17,7252471.7
2020-05-19 04-PM,BTCUSD,9688.24,9734.96,9665.43,9702.17,358.77,3479570.36
2020-05-19 05-AM,BTCUSD,9519.36,9599.35,9513.15,9599.35,282.29,2694948.84
2020-05-19 05-PM,BTCUSD,9702.17,9720,9619.45,9666.62,314.92,3045389.65
2020-05-19 06-AM,BTCUSD,9599.35,9611.27,9573.24,9580.87,215.02,2062777.48
2020-05-19 06-PM,BTCUSD,9666.62,9725.69,9650,9705.1,149.03,1444139.62
2020-05-19 07-AM,BTCUSD,9580.87,9617.04,9545.23,9561.75,194.25,1860676.43
2020-05-19 07-PM,BTCUSD,9705.1,9721.44,9636.63,9642.48,395.54,3829363.68
2020-05-19 08-AM,BTCUSD,9561.75,9826.96,9560.11,9802.2,1243.69,12131479.97
2020-05-19 08-PM,BTCUSD,9642.48,9699.96,9617.04,9683.14,345.52,3336521.57
2020-05-19 09-AM,BTCUSD,9802.2,9816.02,9760.02,9793.29,820.76,8034126.73
2020-05-19 09-PM,BTCUSD,9683.14,9700.55,9660.4,9681.84,164.72,1595526.86
2020-05-19 10-AM,BTCUSD,9793.29,9811.1,9752.3,9796.3,453.57,4441216.82
2020-05-19 10-PM,BTCUSD,9681.84,9780,9650,9758.78,250.01,2427514.24
