Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-09-05,BTCUSD,10586.26,10664.13,10461.97,10573.66,4555.62,48103450.42
2019-09-06,BTCUSD,10573.66,10949,10204.18,10311.09,10701.51,113795476.17
2019-09-07,BTCUSD,10311.09,10580,10297.58,10484.39,3148.51,32951131.73
2019-09-08,BTCUSD,10484.39,10594.88,10229.49,10400.18,3130.86,32602031.64
2019-09-09,BTCUSD,10400.18,10542.93,10060,10307.45,6059.76,62421152.93
2019-09-10,BTCUSD,10307.45,10390.09,9910,10096,4658.92,47153844.31
2019-09-11,BTCUSD,10096,10243.01,9855.11,10154.46,4614.35,46415583.4
2019-09-12,BTCUSD,10154.46,10465,10027.52,10420.34,4719.05,48386409.65
2019-09-13,BTCUSD,10420.34,10458.13,10153.87,10368.65,3755.42,38681903.56
2019-09-14,BTCUSD,10368.65,10441.47,10217.01,10355.37,2656.15,27508865.4
2019-09-15,BTCUSD,10355.37,10383.2,10258.49,10305.74,2297.72,23678550.44
2019-09-16,BTCUSD,10305.74,10378.07,10060.95,10269.98,5496.04,56202919.44
2019-09-17,BTCUSD,10269.98,10280.53,10130.59,10195.73,5078.6,51836062.12
2019-09-18,BTCUSD,10195.73,10263.65,10080,10152.09,3952.01,40255745.62
2019-09-19,BTCUSD,10152.09,10380.07,9600,10271.53,7455.91,74330211.45
2019-09-20,BTCUSD,10271.53,10308.04,10055,10169.02,4463.38,45340500.13
2019-09-21,BTCUSD,10169.02,10180.43,9913.35,9985.28,4148.9,41546389.89
2019-09-22,BTCUSD,9985.28,10093.24,9842.35,10020.58,3213.95,32059845.82
2019-09-23,BTCUSD,10020.58,10048.06,9606,9682.19,5447.96,53515870.75
2019-09-24,BTCUSD,9682.19,9782,7998,8536.82,28154.41,248668254.7
2019-09-25,BTCUSD,8536.82,8746.83,8216,8432.16,17435.87,147110144.95
2019-09-26,BTCUSD,8432.16,8467.89,7733.99,8055.03,16662.32,135420525.37
2019-09-27,BTCUSD,8055.03,8294.04,7866,8187.72,10165.85,81670753.09
2019-09-28,BTCUSD,8187.72,8356.4,8009.84,8218.07,6315.49,51567016.49
2019-09-29,BTCUSD,8218.07,8244.07,7902.66,8047.6,5366.57,43218226.93
2019-09-30,BTCUSD,8047.6,8368.5,7714.7,8298.45,9518.99,76794640.31
2019-10-01,BTCUSD,8298.45,8531.25,8195.42,8319.01,10224.59,85718023.2
2019-10-02,BTCUSD,8319.01,8393.39,8170.91,8373.42,4952.53,40874459.88
2019-10-03,BTCUSD,8373.42,8419.23,8029.14,8239.92,8701.12,71397271.09
2019-10-04,BTCUSD,8239.92,8244.93,7986.65,8152.07,6278.78,51161374.46
2019-10-05,BTCUSD,8152.07,8195,8016.26,8145.17,4445.1,36017535.45
2019-10-06,BTCUSD,8145.17,8176.46,7772.71,7854.12,6454.54,51315707.4
2019-10-07,BTCUSD,7854.12,8313.7,7763.54,8205.53,9363.33,75585498.65
2019-10-08,BTCUSD,8205.53,8344.12,8109.74,8178.54,3577.72,29364663.64
2019-10-09,BTCUSD,8178.54,8707.8,8110,8586.34,11634.19,98328556.67
2019-10-10,BTCUSD,8586.34,8666.84,8450.61,8582.11,7435.43,63608562.98
2019-10-11,BTCUSD,8582.11,8820,8222.88,8265.55,7824.59,66027648.86
2019-10-12,BTCUSD,8265.55,8427.76,8254.68,8303.43,1828.83,15246382.98
2019-10-13,BTCUSD,8303.43,8474.48,8132.91,8282.96,4445.28,37082713.92
2019-10-14,BTCUSD,8282.96,8416.67,8215.41,8362.99,4294.61,35705415.19
2019-10-15,BTCUSD,8362.99,8420.85,8086,8155.13,5044.66,41647353.51
2019-10-16,BTCUSD,8155.13,8179.1,7912.66,7995.89,8644.4,69316753.57
2019-10-17,BTCUSD,7995.89,8130.71,7936.71,8073.32,5395.89,43466038.76
2019-10-18,BTCUSD,8073.32,8120.77,7811.62,7955.08,5611.09,44500999.58
2019-10-19,BTCUSD,7955.08,8096.76,7875,7960.49,3461.13,27557421.1
2019-10-20,BTCUSD,7960.49,8314.77,7874.68,8235.74,6358.92,51422182.22
2019-10-21,BTCUSD,8235.74,8352,8156,8213.65,4919.73,40461008.14
2019-10-22,BTCUSD,8213.65,8314.77,7989.15,8025.9,5678.93,46474242.56
2019-10-23,BTCUSD,8025.9,8052.04,7293.55,7470.77,13306.18,100801574.42
2019-10-24,BTCUSD,7470.77,7512,7356,7435,4997.42,37210305.43
2019-10-25,BTCUSD,7435,8784.29,7393.14,8662.66,19113.8,157079122.1
2019-10-26,BTCUSD,8662.66,10350,8642.46,9252.75,38751.8,364431123.25
2019-10-27,BTCUSD,9252.75,9819.92,9092.66,9557.08,17783.03,169009332.26
2019-10-28,BTCUSD,9557.08,9950,9177.84,9216.44,14722.02,139923976.28
2019-10-29,BTCUSD,9216.44,9573.35,9051.48,9426.94,9059.61,85007062.39
2019-10-30,BTCUSD,9426.94,9437.06,8985.25,9159.94,8814.44,80752701.08
2019-10-31,BTCUSD,9159.94,9438.61,8961.53,9150.07,10113.16,92792853.95
2019-11-01,BTCUSD,9150.07,9303.53,9054.6,9250.45,6640.55,60832091.54
2019-11-02,BTCUSD,9250.45,9396.91,9201.19,9304.75,2701.14,25075118.41
2019-11-03,BTCUSD,9304.75,9384.32,9067,9207,2539.22,23311544.34
2019-11-04,BTCUSD,9207,9586.5,9122.33,9410.76,4962.44,46348340.77
2019-11-05,BTCUSD,9410.76,9485,9165.2,9320.14,4979.58,46449230.61
2019-11-06,BTCUSD,9320.14,9448.19,9254.68,9344.78,4670.23,43617190.04
2019-11-07,BTCUSD,9344.78,9373.48,9080,9199.36,3975.98,36653215.87
2019-11-08,BTCUSD,9199.36,9253.39,8661,8767.37,9699.75,86368731.97
2019-11-09,BTCUSD,8767.37,8876.94,8720,8812.21,2271.52,20011709.54
2019-11-10,BTCUSD,8812.21,9142.33,8750.85,9024.49,2663.28,23900855.54
2019-11-11,BTCUSD,9024.49,9075.32,8593,8720.36,6392.98,55913644.29
2019-11-12,BTCUSD,8720.36,8872.47,8549,8813.91,4721.91,41173319.74
2019-11-13,BTCUSD,8813.91,8839.46,8700,8755.24,3185.82,27877490.14
2019-11-14,BTCUSD,8755.24,8791.78,8555,8636.9,3412.81,29480031.56
2019-11-15,BTCUSD,8636.9,8799.03,8363,8463.49,5213.7,44596817.59
2019-11-16,BTCUSD,8463.49,8539.53,8423,8484.63,1180.57,10004652.28
2019-11-17,BTCUSD,8484.63,8631.6,8375,8499.31,2074.01,17668226.91
2019-11-18,BTCUSD,8499.31,8508.4,8010.7,8170.65,4825.66,40088282.11
